outbreak_category_id,sufferer,dead,district_id,created_at
1,0,0,3101020,2015-12-1
1,10,0,3173050,2016-1-1
1,0,0,3173050,2016-2-1
1,5,0,3173080,2016-1-1
1,4,0,3173080,2016-2-1
1,15,0,3173040,2016-1-1
1,4,0,3173040,2016-2-1
1,13,0,3173060,2016-1-1
1,7,0,3173060,2016-2-1
1,6,1,3173020,2016-1-1
1,8,0,3173020,2016-2-1
1,18,0,3173070,2016-1-1
1,4,0,3173070,2016-2-1
1,9,0,3173030,2016-1-1
1,0,0,3173030,2016-2-1
1,10,0,3173010,2016-1-1
1,4,0,3173010,2016-2-1
1,31,0,3175060,2016-1-1
1,15,0,3175060,2016-2-1
1,27,0,3175050,2016-1-1
1,15,0,3175050,2016-2-1
1,44,0,3175040,2016-1-1
1,7,0,3175040,2016-2-1
1,10,0,3175020,2016-1-1
1,4,0,3175020,2016-2-1
1,32,0,3175010,2016-1-1
1,2,0,3175010,2016-2-1
1,26,0,3175030,2016-1-1
1,6,0,3175030,2016-2-1
1,57,0,3174070,2016-1-1
1,34,0,3174070,2016-2-1
1,32,0,3174040,2016-1-1
1,20,0,3174040,2016-2-1
1,28,0,3174080,2016-1-1
1,14,0,3174080,2016-2-1
1,13,0,3174020,2016-1-1
1,5,0,3174020,2016-2-1
1,16,0,3174010,2016-1-1
1,4,0,3174010,2016-2-1
1,21,0,3174030,2016-1-1
1,8,0,3174030,2016-2-1
1,12,0,3174060,2016-1-1
1,4,0,3174060,2016-2-1
1,6,0,3174050,2016-1-1
1,5,0,3174050,2016-2-1
1,23,0,3171030,2016-1-1
1,20,0,3171030,2016-2-1
1,41,0,3171010,2016-1-1
1,12,0,3171010,2016-2-1
1,28,0,3171060,2016-1-1
1,4,0,3171060,2016-2-1
1,35,0,3171050,2016-1-1
1,29,0,3171050,2016-2-1
1,17,0,3171070,2016-1-1
1,8,0,3171070,2016-2-1
1,19,0,3171080,2016-1-1
1,5,0,3171080,2016-2-1
1,52,0,3171020,2016-1-1
1,21,0,3171020,2016-2-1
1,15,0,3171040,2016-1-1
1,11,0,3171040,2016-2-1
1,24,0,3171100,2016-1-1
1,8,0,3171100,2016-2-1
1,36,1,3171090,2016-1-1
1,12,0,3171090,2016-2-1
1,22,0,3172080,2016-1-1
1,12,0,3172080,2016-2-1
1,14,0,3172030,2016-1-1
1,21,0,3172030,2016-2-1
1,30,0,3172020,2016-1-1
1,20,0,3172020,2016-2-1
1,45,0,3172070,2016-1-1
