outbreak_category_id,sufferer,dead,district_id,created_at
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-07-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-07-01
625b981a-09ea-4328-bd2c-4295df14e932,8,0,3175010,2022-08-01
625b981a-09ea-4328-bd2c-4295df14e932,12,0,3175020,2022-08-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-08-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-08-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-08-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-08-01
625b981a-09ea-4328-bd2c-4295df14e932,7,0,3175010,2022-09-01
625b981a-09ea-4328-bd2c-4295df14e932,11,0,3175020,2022-09-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-09-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-09-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-09-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-09-01
625b981a-09ea-4328-bd2c-4295df14e932,8,0,3175010,2022-10-01
625b981a-09ea-4328-bd2c-4295df14e932,11,0,3175020,2022-10-01
625b981a-09ea-4328-bd2c-4295df14e932,44,0,3175030,2022-10-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-10-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-10-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-10-01
625b981a-09ea-4328-bd2c-4295df14e932,7,0,3175010,2022-11-01
625b981a-09ea-4328-bd2c-4295df14e932,12,0,3175020,2022-11-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-11-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-11-01
625b981a-09ea-4328-bd2c-4295df14e932,3,0,3175050,2022-11-01
625b981a-09ea-4328-bd2c-4295df14e932,67,0,3175060,2022-11-01
625b981a-09ea-4328-bd2c-4295df14e932,8,0,3175010,2022-12-01
625b981a-09ea-4328-bd2c-4295df14e932,11,0,3175020,2022-12-01
625b981a-09ea-4328-bd2c-4295df14e932,40,0,3175030,2022-12-01
625b981a-09ea-4328-bd2c-4295df14e932,10,0,3175040,2022-12-01
